component	msgctxt	msgid	draft_msgstr	hard_terms
plpython		"To return a composite type in an array, return the composite type as a Python tuple, e.g. ""[('foo')]"""	"[REVIEW: tuple; untranslated] To return a composite type in an array, return the composite type as a Python tuple, e.g. ""[('foo')]"""	tuple
plpython		number of array dimensions exceeds the maximum allowed (%d)	[REVIEW: untranslated] number of array dimensions exceeds the maximum allowed (%d)	
plpython		array size exceeds the maximum allowed	[REVIEW: untranslated] array size exceeds the maximum allowed	
plpython		return value of function with array return type is not a Python sequence	[REVIEW: untranslated] return value of function with array return type is not a Python sequence	
plpython		multidimensional arrays must have array expressions with matching dimensions. PL/Python function return value has sequence length %d while expected %d	[REVIEW: untranslated] multidimensional arrays must have array expressions with matching dimensions. PL/Python function return value has sequence length %d while expected %d	
plpython		To return null in a column, add the value None to the mapping with the key named after the column.	[REVIEW: sentence] To return null in a column, add the value None to the mapping with the key नामd after the column.	
plpython		length of returned sequence did not match number of columns in row	[REVIEW: untranslated] length of returned sequence did not match number of columns in row	
plpython		To return null in a column, let the returned object have an attribute named after column with value None.	[REVIEW: sentence] To return null in a column, let the returned object have an attribute नामd after column with value None.	
pltcl		PL/Tcl function to call once when pltcl is first used.	[REVIEW: untranslated] PL/Tcl function to call once when pltcl is first used.	
pltcl		PL/TclU function to call once when pltclu is first used.	[REVIEW: untranslated] PL/TclU function to call once when pltclu is first used.	
pltcl		"function ""%s"" is in the wrong language"	"[REVIEW: untranslated] function ""%s"" is in the wrong language"	
pltcl		"function ""%s"" must not be SECURITY DEFINER"	"[REVIEW: untranslated] function ""%s"" must not be SECURITY DEFINER"	
pltcl		materialize mode required, but it is not allowed in this context	[REVIEW: sentence] materialize mode आवश्यक, but it is not allowed in this context	
pltcl		function returning record called in context that cannot accept type record	[REVIEW: sentence] function returning record called in context that गर्न सकिँदैन accept type record	
pltcl		%s\nin PL/Tcl function %s	%s\n[REVIEW: untranslated] in PL/Tcl function %s	
pltcl		trigger functions can only be called as triggers	[REVIEW: untranslated] trigger functions can only be called as triggers	
postgres		out of binary heap slots	[REVIEW: slot; untranslated] out of binary heap slots	slot
postgres		this build does not support compression with %s	[REVIEW: untranslated] this build does not support compression with %s	
postgres		found empty string where a compression option was expected	[REVIEW: untranslated] found empty string where a compression option was expected	
postgres		"unrecognized compression option: ""%s"""	"[REVIEW: untranslated] unrecognized compression option: ""%s"""	
postgres		"compression option ""%s"" requires a value"	"[REVIEW: untranslated] compression option ""%s"" requires a value"	
postgres		"value for compression option ""%s"" must be an integer"	"[REVIEW: untranslated] value for compression option ""%s"" must be an integer"	
postgres		"value for compression option ""%s"" must be a Boolean value"	"[REVIEW: untranslated] value for compression option ""%s"" must be a Boolean value"	
postgres		"compression algorithm ""%s"" does not accept a compression level"	"[REVIEW: untranslated] compression algorithm ""%s"" does not accept a compression level"	
postgres		"compression algorithm ""%s"" expects a compression level between %d and %d (default at %d)"	"[REVIEW: untranslated] compression algorithm ""%s"" expects a compression level between %d and %d (default at %d)"	
postgres		"compression algorithm ""%s"" does not accept a worker count"	"[REVIEW: untranslated] compression algorithm ""%s"" does not accept a worker count"	
postgres		"compression algorithm ""%s"" does not support long-distance mode"	"[REVIEW: untranslated] compression algorithm ""%s"" does not support long-distance mode"	
postgres		byte ordering mismatch	[REVIEW: untranslated] byte ordering mismatch	
postgres		possible byte ordering mismatch\nThe byte ordering used to store the pg_control file might not match the one\nused by this program.  In that case the results below would be incorrect, and\nthe PostgreSQL installation would be incompatible with this data directory.	[REVIEW: untranslated] possible byte ordering mismatch\n[REVIEW: sentence] The byte ordering used to store the pg_control फाइल might not match the one\n[REVIEW: untranslated] used by this program.  In that case the results below would be incorrect, and\n[REVIEW: untranslated] the PostgreSQL installation would be incompatible with this data directory.	
postgres		out of memory	[REVIEW: untranslated] out of memory	
postgres		destination buffer too small	[REVIEW: buffer; untranslated] destination buffer too small	buffer
postgres		"no data was returned by command ""%s"""	"[REVIEW: untranslated] no data was returned by command ""%s"""	
postgres		out of memory\n	[REVIEW: untranslated] out of memory\n	
postgres		"this build does not support sync method ""%s"""	"[REVIEW: untranslated] this build does not support sync method ""%s"""	
postgres		Incremental parser requires incremental lexer.	[REVIEW: untranslated] Incremental parser requires incremental lexer.	
postgres		JSON nested too deep, maximum permitted depth is 6400.	[REVIEW: untranslated] JSON nested too deep, maximum permitted depth is 6400.	
postgres		Character with value 0x%02x must be escaped.	[REVIEW: untranslated] Character with value 0x%02x must be escaped.	
postgres		"Expected end of input, but found ""%.*s""."	"[REVIEW: untranslated] Expected end of input, but found ""%.*s""."	
postgres		"Expected array element or ""]"", but found ""%.*s""."	"[REVIEW: untranslated] Expected array element or ""]"", but found ""%.*s""."	
postgres		"Expected "","" or ""]"", but found ""%.*s""."	"[REVIEW: untranslated] Expected "","" or ""]"", but found ""%.*s""."	
postgres		"Expected "":"", but found ""%.*s""."	"[REVIEW: untranslated] Expected "":"", but found ""%.*s""."	
postgres		"Expected JSON value, but found ""%.*s""."	"[REVIEW: untranslated] Expected JSON value, but found ""%.*s""."	
postgres		The input string ended unexpectedly.	[REVIEW: untranslated] The input string ended unexpectedly.	
postgres		"Expected string or ""}"", but found ""%.*s""."	"[REVIEW: untranslated] Expected string or ""}"", but found ""%.*s""."	
postgres		"Expected "","" or ""}"", but found ""%.*s""."	"[REVIEW: untranslated] Expected "","" or ""}"", but found ""%.*s""."	
postgres		"Expected string, but found ""%.*s""."	"[REVIEW: untranslated] Expected string, but found ""%.*s""."	
postgres		"""\u"" must be followed by four hexadecimal digits."	"[REVIEW: untranslated] ""\u"" must be followed by four hexadecimal digits."	
postgres		Unicode escape values cannot be used for code point values above 007F when the encoding is not UTF8.	[REVIEW: encoding; sentence] Unicode escape values गर्न सकिँदैन be used for code point values above 007F when the encoding is not UTF8.	encoding
postgres		Unicode escape value could not be translated to the server's encoding %s.	[REVIEW: encoding; sentence] Unicode escape value गर्न सकिएन be translated to the server's encoding %s.	encoding
postgres		Unicode high surrogate must not follow a high surrogate.	[REVIEW: untranslated] Unicode high surrogate must not follow a high surrogate.	
postgres		Unicode low surrogate must follow a high surrogate.	[REVIEW: untranslated] Unicode low surrogate must follow a high surrogate.	
postgres		could not initialize checksum of manifest	[REVIEW: manifest] गर्न सकिएन initialize checksum of manifest	manifest
postgres		manifest ended unexpectedly	[REVIEW: manifest; untranslated] manifest ended unexpectedly	manifest
postgres		could not update checksum of manifest	[REVIEW: manifest] गर्न सकिएन update checksum of manifest	manifest
postgres		unexpected object start	[REVIEW: untranslated] unexpected object start	
postgres		unexpected object end	[REVIEW: untranslated] unexpected object end	
postgres		unexpected array start	[REVIEW: untranslated] unexpected array start	
postgres		unexpected array end	[REVIEW: untranslated] unexpected array end	
postgres		expected version indicator	[REVIEW: untranslated] expected version indicator	
postgres		unrecognized top-level field	[REVIEW: untranslated] unrecognized top-level field	
postgres		unexpected WAL range field	[REVIEW: WAL; untranslated] unexpected WAL range field	WAL
postgres		unexpected object field	[REVIEW: untranslated] unexpected object field	
postgres		manifest version not an integer	[REVIEW: manifest; untranslated] manifest version not an integer	manifest
postgres		unexpected manifest version	[REVIEW: manifest; untranslated] unexpected manifest version	manifest
postgres		system identifier in manifest not an integer	[REVIEW: manifest; untranslated] system identifier in manifest not an integer	manifest
postgres		checksum without algorithm	[REVIEW: untranslated] checksum without algorithm	
postgres		"unrecognized checksum algorithm: ""%s"""	"[REVIEW: untranslated] unrecognized checksum algorithm: ""%s"""	
postgres		missing timeline	[REVIEW: timeline] हराइरहेको timeलाइन	timeline
postgres		missing start LSN	[REVIEW: LSN] हराइरहेको start LSN	LSN
postgres		missing end LSN	[REVIEW: LSN] हराइरहेको end LSN	LSN
postgres		timeline is not an integer	[REVIEW: timeline] timeलाइन is not an integer	timeline
postgres		could not parse start LSN	[REVIEW: LSN] गर्न सकिएन parse start LSN	LSN
postgres		could not parse end LSN	[REVIEW: LSN] गर्न सकिएन parse end LSN	LSN
postgres		could not finalize checksum of manifest	[REVIEW: manifest] गर्न सकिएन finalize checksum of manifest	manifest
postgres		manifest has no checksum	[REVIEW: manifest; untranslated] manifest has no checksum	manifest
postgres		"invalid manifest checksum: ""%s"""	"[REVIEW: manifest] अमान्य manifest checksum: ""%s"""	manifest
postgres		manifest checksum mismatch	[REVIEW: manifest; untranslated] manifest checksum mismatch	manifest
postgres		could not parse backup manifest: %s	[REVIEW: manifest, backup] गर्न सकिएन parse backup manifest: %s	manifest, backup
postgres		"String ends unexpectedly after escape character ""%%""."	"[REVIEW: untranslated] String ends unexpectedly after escape character ""%%""."	
postgres		"String contains unexpected placeholder ""%%%c""."	"[REVIEW: untranslated] String contains unexpected placeholder ""%%%c""."	
postgres		string buffer exceeds maximum allowed length (%zu bytes)	[REVIEW: buffer; untranslated] string buffer exceeds maximum allowed length (%zu bytes)	buffer
postgres		Cannot enlarge string buffer containing %d bytes by %d more bytes.	[REVIEW: buffer] गर्न सकिँदैन enlarge string buffer containing %d bytes by %d more bytes.	buffer
postgres		string buffer exceeds maximum allowed length (%zu bytes)\n\nCannot enlarge string buffer containing %d bytes by %d more bytes.\n	[REVIEW: buffer; untranslated] string buffer exceeds maximum allowed length (%zu bytes)\n\n[REVIEW: buffer] गर्न सकिँदैन enlarge string buffer containing %d bytes by %d more bytes.\n	buffer
postgres		command not executable	[REVIEW: untranslated] command not executable	
postgres		child process exited with exit code %d	[REVIEW: untranslated] child process exited with exit code %d	
postgres		child process was terminated by exception 0x%X	[REVIEW: untranslated] child process was terminated by exception 0x%X	
postgres		child process was terminated by signal %d: %s	[REVIEW: untranslated] child process was terminated by signal %d: %s	
postgres		child process exited with unrecognized status %d	[REVIEW: untranslated] child process exited with unrecognized status %d	
postgres		"could not determine encoding for codeset ""%s"""	"[REVIEW: encoding] गर्न सकिएन determine encoding for codeset ""%s"""	encoding
postgres		"could not determine encoding for locale ""%s"": codeset is ""%s"""	"[REVIEW: encoding, locale] गर्न सकिएन determine encoding for locale ""%s"": codeset is ""%s"""	encoding, locale
postgres		lock violation	[REVIEW: lock] lock violation	lock
postgres		Continuing to retry for 30 seconds.	[REVIEW: untranslated] Continuing to retry for 30 seconds.	
postgres		You might have antivirus, backup, or similar software interfering with the database system.	[REVIEW: backup; untranslated] You might have antivirus, backup, or similar software interfering with the database system.	backup
postgres		"request for BRIN range summarization for index ""%s"" page %u was not recorded"	"[REVIEW: untranslated] request for BRIN range summarization for index ""%s"" page %u was not recorded"	
postgres		recovery is in progress	[REVIEW: recovery; untranslated] recovery is in progress	recovery
postgres		BRIN control functions cannot be executed during recovery.	[REVIEW: recovery] BRIN control functions गर्न सकिँदैन be executed during recovery.	recovery
postgres		block number out of range: %<PRId64>	[REVIEW: lock; untranslated] block number out of range: %<PRId64>	lock
postgres		"""%s"" is not a BRIN index"	"[REVIEW: untranslated] ""%s"" is not a BRIN index"	
postgres		"index ""%s"" is not valid"	"[REVIEW: untranslated] index ""%s"" is not valid"	
postgres		"index row size %zu exceeds maximum %zu for index ""%s"""	"[REVIEW: untranslated] index row size %zu exceeds maximum %zu for index ""%s"""	
postgres		corrupted BRIN index: inconsistent range map	[REVIEW: untranslated] corrupted BRIN index: inconsistent range map	
postgres		"unexpected page type 0x%04X in BRIN index ""%s"" block %u"	"[REVIEW: lock; untranslated] unexpected page type 0x%04X in BRIN index ""%s"" block %u"	lock
postgres		"operator family ""%s"" of access method %s contains function %s with invalid support number %d"	"[REVIEW: operator family, access method; sentence] operator family ""%s"" of access method %s contains function %s with अमान्य support number %d"	operator family, access method
postgres		"operator family ""%s"" of access method %s contains function %s with wrong signature for support number %d"	"[REVIEW: operator family, access method; untranslated] operator family ""%s"" of access method %s contains function %s with wrong signature for support number %d"	operator family, access method
postgres		"operator family ""%s"" of access method %s contains operator %s with invalid strategy number %d"	"[REVIEW: operator family, access method; sentence] operator family ""%s"" of access method %s contains operator %s with अमान्य strategy number %d"	operator family, access method
postgres		"operator family ""%s"" of access method %s contains invalid ORDER BY specification for operator %s"	"[REVIEW: operator family, access method; sentence] operator family ""%s"" of access method %s contains अमान्य ORDER BY specification for operator %s"	operator family, access method
postgres		"operator family ""%s"" of access method %s contains operator %s with wrong signature"	"[REVIEW: operator family, access method; untranslated] operator family ""%s"" of access method %s contains operator %s with wrong signature"	operator family, access method
postgres		"operator family ""%s"" of access method %s is missing operator(s) for types %s and %s"	"[REVIEW: operator family, access method; sentence] operator family ""%s"" of access method %s is हराइरहेको operator(s) for types %s and %s"	operator family, access method
postgres		"operator family ""%s"" of access method %s is missing support function(s) for types %s and %s"	"[REVIEW: operator family, access method; sentence] operator family ""%s"" of access method %s is हराइरहेको support function(s) for types %s and %s"	operator family, access method
postgres		"operator class ""%s"" of access method %s is missing operator(s)"	"[REVIEW: operator class, access method] operator class ""%s"" of access method %s is हराइरहेको operator(s)"	operator class, access method
postgres		"operator class ""%s"" of access method %s is missing support function %d"	"[REVIEW: operator class, access method] operator class ""%s"" of access method %s is हराइरहेको support function %d"	operator class, access method
postgres		"Returned type %s does not match expected type %s in column ""%s"" (position %d)."	"[REVIEW: untranslated] Returned type %s does not match expected type %s in column ""%s"" (position %d)."	
postgres		Number of returned columns (%d) does not match expected column count (%d).	[REVIEW: untranslated] Number of returned columns (%d) does not match expected column count (%d).	
postgres		"Attribute ""%s"" of type %s does not match corresponding attribute of type %s."	"[REVIEW: untranslated] Attribute ""%s"" of type %s does not match corresponding attribute of type %s."	
postgres		number of columns (%d) exceeds limit (%d)	[REVIEW: untranslated] number of columns (%d) exceeds limit (%d)	
postgres		number of index columns (%d) exceeds limit (%d)	[REVIEW: untranslated] number of index columns (%d) exceeds limit (%d)	
postgres		index row requires %zu bytes, maximum size is %zu	[REVIEW: untranslated] index row requires %zu bytes, maximum size is %zu	
postgres		unsupported format code: %d	[REVIEW: untranslated] unsupported format code: %d	
postgres		"Valid values are ""on"", ""off"", and ""auto""."	"[REVIEW: untranslated] Valid values are ""on"", ""off"", and ""auto""."	
postgres		"Valid values are ""local"" and ""cascaded""."	"[REVIEW: untranslated] Valid values are ""local"" and ""cascaded""."	
postgres		user-defined relation parameter types limit exceeded	[REVIEW: relation] प्रयोगकर्ता-defined relation parameter types limit exceeded	relation
postgres		RESET must not include values for parameters	[REVIEW: untranslated] RESET must not include values for parameters	
postgres		"unrecognized parameter namespace ""%s"""	"[REVIEW: namespace] unrecognized parameter नामspace ""%s"""	namespace
postgres		tables declared WITH OIDS are not supported	[REVIEW: OID; untranslated] tables declared WITH OIDS are not supported	OID
postgres		"parameter ""%s"" specified more than once"	"[REVIEW: untranslated] parameter ""%s"" specified more than once"	
postgres		"value %s out of bounds for option ""%s"""	"[REVIEW: untranslated] value %s out of bounds for option ""%s"""	
postgres		"Valid values are between ""%d"" and ""%d""."	"[REVIEW: untranslated] Valid values are between ""%d"" and ""%d""."	
postgres		"Valid values are between ""%f"" and ""%f""."	"[REVIEW: untranslated] Valid values are between ""%f"" and ""%f""."	
postgres		Specify storage parameters for its leaf partitions instead.	[REVIEW: untranslated] Specify storage parameters for its leaf partitions instead.	
postgres		compression method lz4 not supported	[REVIEW: untranslated] compression method lz4 not supported	
postgres		This functionality requires the server to be built with lz4 support.	[REVIEW: untranslated] This functionality requires the server to be built with lz4 support.	
postgres		posting list is too long	[REVIEW: untranslated] posting list is too long	
postgres		GIN pending list cannot be cleaned up during recovery.	[REVIEW: recovery] GIN pending list गर्न सकिँदैन be cleaned up during recovery.	recovery
postgres		"""%s"" is not a GIN index"	"[REVIEW: untranslated] ""%s"" is not a GIN index"	
postgres		"failed to re-find tuple within index ""%s"""	"[REVIEW: tuple] असफल भयो to re-find tuple within index ""%s"""	tuple
postgres		old GIN indexes do not support whole-index scans nor searches for nulls	[REVIEW: untranslated] old GIN indexes do not support whole-index scans nor searches for nulls	
postgres		"To fix this, do REINDEX INDEX ""%s""."	"[REVIEW: untranslated] To fix this, do REINDEX INDEX ""%s""."	
postgres		"operator family ""%s"" of access method %s contains support function %s with different left and right input types"	"[REVIEW: operator family, access method; untranslated] operator family ""%s"" of access method %s contains support function %s with different left and right input types"	operator family, access method
postgres		"operator class ""%s"" of access method %s is missing support function %d or %d"	"[REVIEW: operator class, access method] operator class ""%s"" of access method %s is हराइरहेको support function %d or %d"	operator class, access method
postgres		support function number %d is invalid for access method %s	[REVIEW: access method] support function number %d is अमान्य for access method %s	access method
postgres		"index ""%s"" contains an inner tuple marked as invalid"	"[REVIEW: tuple] index ""%s"" contains an inner tuple marked as अमान्य"	tuple
postgres		This is caused by an incomplete page split at crash recovery before upgrading to PostgreSQL 9.1.	[REVIEW: recovery; untranslated] This is caused by an incomplete page split at crash recovery before upgrading to PostgreSQL 9.1.	recovery
postgres		Please REINDEX it.	[REVIEW: untranslated] Please REINDEX it.	
postgres		"fixing incomplete split in index ""%s"", block %u"	"[REVIEW: lock; untranslated] fixing incomplete split in index ""%s"", block %u"	lock
postgres		The index is not optimal. To optimize it, contact a developer, or try to use the column as the second one in the CREATE INDEX command.	[REVIEW: untranslated] The index is not optimal. To optimize it, contact a developer, or try to use the column as the second one in the CREATE INDEX command.	
postgres		"index ""%s"" contains unexpected zero page at block %u"	"[REVIEW: lock; untranslated] index ""%s"" contains unexpected zero page at block %u"	lock
postgres		"index ""%s"" contains corrupted page at block %u"	"[REVIEW: lock; untranslated] index ""%s"" contains corrupted page at block %u"	lock
postgres		"operator family ""%s"" of access method %s contains unsupported ORDER BY specification for operator %s"	"[REVIEW: operator family, access method; untranslated] operator family ""%s"" of access method %s contains unsupported ORDER BY specification for operator %s"	operator family, access method
postgres		"operator family ""%s"" of access method %s contains incorrect ORDER BY opfamily specification for operator %s"	"[REVIEW: operator family, access method; untranslated] operator family ""%s"" of access method %s contains incorrect ORDER BY opfamily specification for operator %s"	operator family, access method
postgres		could not determine which collation to use for string hashing	[REVIEW: collation] गर्न सकिएन determine which collation to use for string hashing	collation
postgres		Use the COLLATE clause to set the collation explicitly.	[REVIEW: collation; untranslated] Use the COLLATE clause to set the collation explicitly.	collation
postgres		index row size %zu exceeds hash maximum %zu	[REVIEW: untranslated] index row size %zu exceeds hash maximum %zu	
postgres		Values larger than a buffer page cannot be indexed.	[REVIEW: buffer] Values larger than a buffer page गर्न सकिँदैन be indexed.	buffer
postgres		invalid overflow block number %u	[REVIEW: lock] अमान्य overflow block number %u	lock
postgres		"out of overflow pages in hash index ""%s"""	"[REVIEW: untranslated] out of overflow pages in hash index ""%s"""	
postgres		hash indexes do not support whole-index scans	[REVIEW: untranslated] hash indexes do not support whole-index scans	
postgres		"index ""%s"" is not a hash index"	"[REVIEW: untranslated] index ""%s"" is not a hash index"	
postgres		"index ""%s"" has wrong hash version"	"[REVIEW: untranslated] index ""%s"" has wrong hash version"	
postgres		"operator family ""%s"" of access method %s lacks support function for operator %s"	"[REVIEW: operator family, access method; untranslated] operator family ""%s"" of access method %s lacks support function for operator %s"	operator family, access method
postgres		"operator family ""%s"" of access method %s is missing cross-type operator(s)"	"[REVIEW: operator family, access method] operator family ""%s"" of access method %s is हराइरहेको cross-type operator(s)"	operator family, access method
postgres		cannot insert tuples in a parallel worker	[REVIEW: tuple] गर्न सकिँदैन insert tuples in a parallel worker	tuple
postgres		cannot delete tuples during a parallel operation	[REVIEW: tuple] गर्न सकिँदैन delete tuples during a parallel operation	tuple
postgres		attempted to delete invisible tuple	[REVIEW: tuple; untranslated] attempted to delete invisible tuple	tuple
postgres		cannot update tuples during a parallel operation	[REVIEW: tuple] गर्न सकिँदैन update tuples during a parallel operation	tuple
postgres		attempted to update invisible tuple	[REVIEW: tuple; untranslated] attempted to update invisible tuple	tuple
postgres		"could not obtain lock on row in relation ""%s"""	"[REVIEW: relation, lock] गर्न सकिएन obtain lock on row in relation ""%s"""	relation, lock
postgres		tuple to be updated was already modified by an operation triggered by the current command	[REVIEW: tuple; untranslated] tuple to be updated was already modified by an operation triggered by the current command	tuple
postgres		tuple to be locked was already moved to another partition due to concurrent update	[REVIEW: tuple, lock; untranslated] tuple to be locked was already moved to another partition due to concurrent update	tuple, lock
postgres		row is too big: size %zu, maximum size %zu	[REVIEW: untranslated] row is too big: size %zu, maximum size %zu	
postgres		"finished vacuuming ""%s.%s.%s"": index scans: %d\n"	"[REVIEW: untranslated] finished vacuuming ""%s.%s.%s"": index scans: %d\n"	
postgres		"automatic aggressive vacuum to prevent wraparound of table ""%s.%s.%s"": index scans: %d\n"	"[REVIEW: untranslated] automatic aggressive vacuum to prevent wraparound of table ""%s.%s.%s"": index scans: %d\n"	
postgres		"automatic vacuum to prevent wraparound of table ""%s.%s.%s"": index scans: %d\n"	"[REVIEW: untranslated] automatic vacuum to prevent wraparound of table ""%s.%s.%s"": index scans: %d\n"	
postgres		"automatic aggressive vacuum of table ""%s.%s.%s"": index scans: %d\n"	"[REVIEW: untranslated] automatic aggressive vacuum of table ""%s.%s.%s"": index scans: %d\n"	
postgres		"automatic vacuum of table ""%s.%s.%s"": index scans: %d\n"	"[REVIEW: untranslated] automatic vacuum of table ""%s.%s.%s"": index scans: %d\n"	
postgres		pages: %u removed, %u remain, %u scanned (%.2f%% of total), %u eagerly scanned\n	[REVIEW: untranslated] pages: %u removed, %u remain, %u scanned (%.2f%% of total), %u eagerly scanned\n	
postgres		tuples: %<PRId64> removed, %<PRId64> remain, %<PRId64> are dead but not yet removable\n	[REVIEW: tuple; untranslated] tuples: %<PRId64> removed, %<PRId64> remain, %<PRId64> are dead but not yet removable\n	tuple
postgres		tuples missed: %<PRId64> dead from %u pages not removed due to cleanup lock contention\n	[REVIEW: tuple, lock; untranslated] tuples missed: %<PRId64> dead from %u pages not removed due to cleanup lock contention\n	tuple, lock
postgres		removable cutoff: %u, which was %d XIDs old when operation ended\n	[REVIEW: untranslated] removable cutoff: %u, which was %d XIDs old when operation ended\n	
postgres		new relfrozenxid: %u, which is %d XIDs ahead of previous value\n	[REVIEW: untranslated] new relfrozenxid: %u, which is %d XIDs ahead of previous value\n	
postgres		new relminmxid: %u, which is %d MXIDs ahead of previous value\n	[REVIEW: untranslated] new relminmxid: %u, which is %d MXIDs ahead of previous value\n	
postgres		frozen: %u pages from table (%.2f%% of total) had %<PRId64> tuples frozen\n	[REVIEW: tuple; untranslated] frozen: %u pages from table (%.2f%% of total) had %<PRId64> tuples frozen\n	tuple
postgres		visibility map: %u pages set all-visible, %u pages set all-frozen (%u were all-visible)\n	[REVIEW: visibility map; untranslated] visibility map: %u pages set all-visible, %u pages set all-frozen (%u were all-visible)\n	visibility map
postgres		index scan not needed: 	[REVIEW: untranslated] index scan not needed: 	
postgres		index scan needed: 	[REVIEW: untranslated] index scan needed: 	
postgres		%u pages from table (%.2f%% of total) had %<PRId64> dead item identifiers removed\n	[REVIEW: untranslated] %u pages from table (%.2f%% of total) had %<PRId64> dead item identifiers removed\n	
postgres		index scan bypassed: 	[REVIEW: untranslated] index scan bypassed: 	
postgres		index scan bypassed by failsafe: 	[REVIEW: untranslated] index scan bypassed by failsafe: 	
postgres		%u pages from table (%.2f%% of total) have %<PRId64> dead item identifiers\n	[REVIEW: untranslated] %u pages from table (%.2f%% of total) have %<PRId64> dead item identifiers\n	
postgres		"index ""%s"": pages: %u in total, %u newly deleted, %u currently deleted, %u reusable\n"	"[REVIEW: untranslated] index ""%s"": pages: %u in total, %u newly deleted, %u currently deleted, %u reusable\n"	
postgres		delay time: %.3f ms\n	[REVIEW: untranslated] delay time: %.3f ms\n	
postgres		I/O timings: read: %.3f ms, write: %.3f ms\n	[REVIEW: untranslated] I/O timings: read: %.3f ms, write: %.3f ms\n	
postgres		avg read rate: %.3f MB/s, avg write rate: %.3f MB/s\n	[REVIEW: untranslated] avg read rate: %.3f MB/s, avg write rate: %.3f MB/s\n	
postgres		buffer usage: %<PRId64> hits, %<PRId64> reads, %<PRId64> dirtied\n	[REVIEW: buffer; untranslated] buffer usage: %<PRId64> hits, %<PRId64> reads, %<PRId64> dirtied\n	buffer
postgres		WAL usage: %<PRId64> records, %<PRId64> full page images, %<PRIu64> bytes, %<PRId64> buffers full\n	[REVIEW: buffer, WAL; untranslated] WAL usage: %<PRId64> records, %<PRId64> full page images, %<PRIu64> bytes, %<PRId64> buffers full\n	buffer, WAL
postgres		"disabling eager scanning after freezing %u eagerly scanned blocks of ""%s.%s.%s"""	"[REVIEW: lock; untranslated] disabling eager scanning after freezing %u eagerly scanned blocks of ""%s.%s.%s"""	lock
postgres		"table ""%s"": removed %<PRId64> dead item identifiers in %u pages"	"[REVIEW: untranslated] table ""%s"": removed %<PRId64> dead item identifiers in %u pages"	
postgres		"bypassing nonessential maintenance of table ""%s.%s.%s"" as a failsafe after %d index scans"	"[REVIEW: untranslated] bypassing nonessential maintenance of table ""%s.%s.%s"" as a failsafe after %d index scans"	
postgres		The table's relfrozenxid or relminmxid is too far in the past.	[REVIEW: untranslated] The table's relfrozenxid or relminmxid is too far in the past.	
postgres		"Consider increasing configuration parameter ""maintenance_work_mem"" or ""autovacuum_work_mem"".\nYou might also need to consider other ways for VACUUM to keep up with the allocation of transaction IDs."	"[REVIEW: autovacuum; untranslated] Consider increasing configuration parameter ""maintenance_work_mem"" or ""autovacuum_work_mem"".\n[REVIEW: transaction; untranslated] You might also need to consider other ways for VACUUM to keep up with the allocation of transaction IDs."	transaction, autovacuum
postgres		"""%s"": stopping truncate due to conflicting lock request"	"[REVIEW: lock; untranslated] ""%s"": stopping truncate due to conflicting lock request"	lock
postgres		"table ""%s"": truncated %u to %u pages"	"[REVIEW: untranslated] table ""%s"": truncated %u to %u pages"	
postgres		"table ""%s"": suspending truncate due to conflicting lock request"	"[REVIEW: lock; untranslated] table ""%s"": suspending truncate due to conflicting lock request"	lock
postgres		"disabling parallel option of vacuum on ""%s"" --- cannot vacuum temporary tables in parallel"	"[REVIEW: sentence] disabling parallel option of vacuum on ""%s"" --- गर्न सकिँदैन vacuum temporary tables in parallel"	
postgres		"while scanning block %u offset %u of relation ""%s.%s"""	"[REVIEW: relation, lock; untranslated] while scanning block %u offset %u of relation ""%s.%s"""	relation, lock
postgres		"while scanning block %u of relation ""%s.%s"""	"[REVIEW: relation, lock; untranslated] while scanning block %u of relation ""%s.%s"""	relation, lock
postgres		"while scanning relation ""%s.%s"""	"[REVIEW: relation; untranslated] while scanning relation ""%s.%s"""	relation
postgres		"while vacuuming block %u offset %u of relation ""%s.%s"""	"[REVIEW: relation, lock; untranslated] while vacuuming block %u offset %u of relation ""%s.%s"""	relation, lock
postgres		"while vacuuming block %u of relation ""%s.%s"""	"[REVIEW: relation, lock; untranslated] while vacuuming block %u of relation ""%s.%s"""	relation, lock
postgres		"while vacuuming relation ""%s.%s"""	"[REVIEW: relation; untranslated] while vacuuming relation ""%s.%s"""	relation
postgres		"while vacuuming index ""%s"" of relation ""%s.%s"""	"[REVIEW: relation; untranslated] while vacuuming index ""%s"" of relation ""%s.%s"""	relation
postgres		"while cleaning up index ""%s"" of relation ""%s.%s"""	"[REVIEW: relation; untranslated] while cleaning up index ""%s"" of relation ""%s.%s"""	relation
postgres		"while truncating relation ""%s.%s"" to %u blocks"	"[REVIEW: relation, lock; untranslated] while truncating relation ""%s.%s"" to %u blocks"	relation, lock
postgres		"access method ""%s"" is not of type %s"	"[REVIEW: access method; untranslated] access method ""%s"" is not of type %s"	access method
postgres		"index access method ""%s"" does not have a handler"	"[REVIEW: access method; untranslated] index access method ""%s"" does not have a handler"	access method
postgres		transaction aborted during system catalog scan	[REVIEW: transaction, catalog; untranslated] transaction aborted during system catalog scan	transaction, catalog
postgres		"""%s"" is not an index"	"[REVIEW: untranslated] ""%s"" is not an index"	
postgres		operator class %s has no options	[REVIEW: operator class; untranslated] operator class %s has no options	operator class
